strain	date	region	country	division
hDenV4/Colombia/un-OUCRU-401211/2013	2013	South America	Colombia	
hDenV4/Colombia/un-OUCRU-401213/2013	2013	South America	Colombia	
hDenV4/Colombia/un-OUCRU-401215/2013	2013	South America	Colombia	
hDenV4/Colombia/SAN-UIS-0000035/2015	2015	South America	Colombia	Santander
hDenV4/Colombia/SAN-UIS-0000039/2016	2016	South America	Colombia	Santander
hDenV4/Colombia/SAN-UIS-0000042/2016	2016	South America	Colombia	Santander
hDenV4/Colombia/NSA-BROAD-0000022/2005	2005	South America	Colombia	Norte de Santander
hDenV4/Colombia/SAN-BROAD-0000047/2004	2004	South America	Colombia	Santander
hDenV4/Colombia/SAN-BROAD-0000051/2004	2004	South America	Colombia	Santander
hDenV4/Colombia/SAN-BROAD-0000056/2001	2001	South America	Colombia	Santander
hDenV4/Colombia/SAN-BROAD-0000044/1997	1997	South America	Colombia	Santander
hDenV4/Colombia/SAN-BROAD-0000027/2001	2001	South America	Colombia	Santander
hDenV4/Colombia/SAN-BROAD-0000028/2001	2001	South America	Colombia	Santander
hDenV4/Colombia/SAN-BROAD-0000039/2001	2001	South America	Colombia	Santander
hDenV4/Colombia/SAN-UIS-0000021/2004	2004	South America	Colombia	Santander
hDenV4/Colombia/SAN-UIS-0000022/2001	2001	South America	Colombia	Santander
hDenV4/Colombia/NSA-UIS-0000004/2005	2005	South America	Colombia	Norte de Santander
hDenV4/Colombia/NSA-UIS-0000003/2005	2005	South America	Colombia	Norte de Santander
hDenV4/Colombia/SAN-UIS-0000023/2000	2000	South America	Colombia	Santander
hDenV4/Colombia/SAN-UIS-0000027/2001	2001	South America	Colombia	Santander
hDenV4/Colombia/SAN-UIS-0000026/2001	2001	South America	Colombia	Santander
hDenV4/Colombia/SAN-UIS-0000024/2004	2004	South America	Colombia	Santander
hDenV4/Colombia/SAN-UIS-0000025/2004	2004	South America	Colombia	Santander
hDenV4/Colombia/un-CDC-039/2006	2006	South America	Colombia	
DenV4/un/Colombia/CSU-371813/1996	1996	South America	Colombia	
hDenV4/Colombia/un-WRAIR-00001/1982	1982	South America	Colombia	
DenV4/un/Colombia/un-WU-00001/1982	1982	South America	Colombia	
hDenV4/Colombia/un-OUCRU-596/2013	2013	South America	Colombia	
hDenV4/Colombia/un-OUCRU-595/2013	2013	South America	Colombia	
hDenV4/Colombia/un-OUCRU-594/2013	2013	South America	Colombia	
hDenV4/Colombia/un-INS-480579/2016	2016-05-21	South America	Colombia	
hDenV4/Colombia/un-Yale-DH129/1988	1988-01-01	South America	Colombia	
hDenV4/Colombia/VAC-LSPVAC-2401630/2024	2024-01-02	South America	Colombia	Valle del Cauca
hDenV4/Colombia/VAC-LSPVAC-2403871/2024	2024-03-04	South America	Colombia	Valle del Cauca
hDenV4/Colombia/CUN-UEB-032/2014	2014-02-09	South America	Colombia	Cundinamarca
hDenV4/Colombia/un-ICGEB-360/1982	1982	South America	Colombia	
hDenV4/Colombia/SAN-UR-F14100091/2014	2014-11	South America	Colombia	Santander
hDenV4/Colombia/SAN-UR-LV141010/2010	2010-04	South America	Colombia	Santander
hDenV4/Colombia/SAN-UR-LV141021/2010	2010-01	South America	Colombia	Santander
hDenV4/Colombia/SAN-UR-P202090076/2015	2015-11	South America	Colombia	Santander
hDenV4/Colombia/SAN-UR-LV192075/2009	2009-06	South America	Colombia	Santander
hDenV4/Colombia/SAN-UR-P200120105/2015	2015-10	South America	Colombia	Valle del Cauca
hDenV4/Colombia/SAN-UR-LV141007/2010	2010-01	South America	Colombia	Santander
hDenV4/Colombia/SAN-UR-LV111117/2014	2014-09	South America	Colombia	Santander
hDenV4/Colombia/SAN-UR-LV121101/2010	2010-02	South America	Colombia	Santander
hDenV4/Colombia/SAN-UR-LV122006/2009	2009-08	South America	Colombia	Santander
hDenV4/Colombia/CES-UR-P201080317/2015	2015-01	South America	Colombia	Cesar
hDenV4/Colombia/ANT-UDS-0732600/2013	2013-08-14	South America	Colombia	Antioquia
hDenV4/Colombia/ANT-UDS-1723601/2013	2013-07-30	South America	Colombia	Antioquia
hDenV4/Colombia/ANT-UDS-0728599/2013	2013-07-12	South America	Colombia	Antioquia
hDenV4/Colombia/ANT-UDS-0681598/2013	2013-02-22	South America	Colombia	Antioquia
hDenV4/Colombia/ANT-UDS-0678597/2013	2013-02-15	South America	Colombia	Antioquia
hDenV4/Colombia/ANT-UDS-0676596/2013	2013-02-01	South America	Colombia	Antioquia
hDenV4/Colombia/ANT-UDS-0179595/2013	2013-01-09	South America	Colombia	Antioquia
